Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Nicaragua,126.0,759.0,0.0,35.0,0.0,370.0,354.0,0.0,115.0,5.0,0.0,0.0,6617838.0
Jordan,127.0,746.0,7.0,9.0,0.0,535.0,202.0,5.0,73.0,0.9,193060.0,18937.0,10194610.0
Diamond Princess,128.0,712.0,0.0,13.0,0.0,651.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0
San Marino,129.0,671.0,0.0,42.0,0.0,359.0,270.0,1.0,19779.0,1238.0,4485.0,132203.0,33925.0
Malta,130.0,619.0,1.0,9.0,0.0,537.0,73.0,1.0,1402.0,20.0,69622.0,157712.0,441449.0
Congo,131.0,611.0,0.0,20.0,0.0,179.0,412.0,0.0,111.0,4.0,0.0,0.0,5505568.0
Mauritania,132.0,588.0,58.0,23.0,0.0,27.0,538.0,0.0,127.0,5.0,7654.0,1650.0,4638278.0
Jamaica,133.0,586.0,5.0,9.0,0.0,311.0,266.0,2.0,198.0,3.0,12702.0,4291.0,2960117.0
Channel Islands,134.0,560.0,0.0,45.0,0.0,528.0,-13.0,0.0,3223.0,259.0,10255.0,59029.0,173729.0
Tanzania,135.0,509.0,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59573674.0
French Guiana,136.0,499.0,0.0,1.0,0.0,200.0,298.0,2.0,1675.0,3.0,0.0,0.0,297963.0
Sao Tome and Principe,137.0,484.0,1.0,12.0,0.0,68.0,404.0,0.0,2212.0,55.0,175.0,800.0,218798.0
Réunion,138.0,471.0,0.0,1.0,0.0,411.0,59.0,1.0,526.0,1.0,17200.0,19223.0,894784.0
Cabo Verde,139.0,458.0,23.0,4.0,0.0,193.0,261.0,0.0,825.0,7.0,1307.0,2353.0,555476.0
Uganda,140.0,457.0,40.0,0.0,0.0,72.0,385.0,0.0,10.0,0.0,96825.0,2123.0,45602136.0
Palestine,141.0,449.0,1.0,3.0,0.0,372.0,74.0,0.0,88.0,0.6,44876.0,8816.0,5090574.0
Togo,142.0,443.0,1.0,13.0,0.0,215.0,215.0,0.0,54.0,2.0,20500.0,2482.0,8260968.0
Taiwan,143.0,443.0,1.0,7.0,0.0,427.0,9.0,0.0,19.0,0.3,72319.0,3037.0,23813331.0
Rwanda,144.0,377.0,7.0,1.0,0.0,262.0,114.0,0.0,29.0,0.08,66976.0,5183.0,12922594.0
Yemen,145.0,354.0,31.0,84.0,4.0,14.0,256.0,0.0,12.0,3.0,120.0,4.0,29766367.0
Isle of Man,146.0,336.0,0.0,24.0,0.0,311.0,1.0,0.0,3953.0,282.0,4892.0,57556.0,84996.0
Malawi,147.0,336.0,52.0,4.0,0.0,42.0,290.0,1.0,18.0,0.2,5049.0,265.0,19084049.0
Mauritius,148.0,335.0,0.0,10.0,0.0,322.0,3.0,0.0,263.0,8.0,120358.0,94651.0,1271600.0
Vietnam,149.0,328.0,0.0,0.0,0.0,293.0,35.0,1.0,3.0,0.0,275000.0,2827.0,97265308.0
Montenegro,150.0,324.0,0.0,9.0,0.0,315.0,0.0,0.0,516.0,14.0,10167.0,16188.0,628060.0
Liberia,151.0,296.0,8.0,27.0,0.0,159.0,110.0,0.0,59.0,5.0,0.0,0.0,5046798.0
Eswatini,152.0,293.0,8.0,3.0,1.0,194.0,96.0,0.0,253.0,3.0,4994.0,4308.0,1159150.0
Mozambique,153.0,254.0,0.0,2.0,0.0,91.0,161.0,0.0,8.0,0.06,10878.0,349.0,31173041.0
Benin,154.0,243.0,11.0,3.0,0.0,147.0,93.0,0.0,20.0,0.2,34682.0,2868.0,12093650.0
Myanmar,155.0,228.0,4.0,6.0,0.0,138.0,84.0,0.0,4.0,0.1,27077.0,498.0,54379727.0
Martinique,156.0,200.0,0.0,14.0,0.0,98.0,88.0,0.0,533.0,37.0,0.0,0.0,375288.0
Faeroe Islands,157.0,187.0,0.0,0.0,0.0,187.0,0.0,0.0,3828.0,0.0,9677.0,198104.0,48848.0
Mongolia,158.0,185.0,6.0,0.0,0.0,44.0,141.0,19.0,57.0,0.0,14037.0,4288.0,3273672.0
