Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Sierra Leone,125.0,585.0,15.0,35.0,1.0,205.0,345.0,0.0,74.0,4.0,0.0,0.0,7957977.0
Channel Islands,126.0,558.0,0.0,45.0,0.0,508.0,5.0,0.0,3213.0,259.0,5342.0,30757.0,173685.0
Jamaica,127.0,529.0,9.0,9.0,0.0,171.0,349.0,0.0,179.0,3.0,9021.0,3048.0,2959765.0
Tanzania,128.0,509.0,0.0,21.0,0.0,183.0,305.0,7.0,9.0,0.4,0.0,0.0,59527001.0
South Sudan,129.0,481.0,191.0,4.0,0.0,4.0,473.0,0.0,43.0,0.4,3356.0,300.0,11178970.0
Congo,130.0,469.0,49.0,16.0,1.0,137.0,316.0,0.0,85.0,3.0,0.0,0.0,5501846.0
Nepal,131.0,457.0,30.0,3.0,1.0,49.0,405.0,1.0,16.0,0.1,117431.0,4039.0,29076092.0
Réunion,132.0,449.0,2.0,1.0,0.0,411.0,37.0,2.0,502.0,1.0,17200.0,19226.0,894609.0
Taiwan,133.0,441.0,1.0,7.0,0.0,407.0,27.0,0.0,19.0,0.3,70338.0,2954.0,23812157.0
CAR,134.0,436.0,18.0,0.0,0.0,18.0,418.0,0.0,90.0,0.0,11294.0,2343.0,4820066.0
Palestine,135.0,423.0,25.0,2.0,0.0,346.0,75.0,0.0,83.0,0.4,44876.0,8821.0,5087326.0
Madagascar,136.0,405.0,34.0,2.0,0.0,131.0,272.0,1.0,15.0,0.07,5670.0,205.0,27605453.0
Ethiopia,137.0,399.0,10.0,5.0,0.0,123.0,271.0,0.0,3.0,0.04,69519.0,607.0,114622829.0
Cabo Verde,138.0,356.0,7.0,3.0,0.0,95.0,258.0,0.0,641.0,5.0,892.0,1606.0,555311.0
Togo,139.0,354.0,14.0,12.0,0.0,118.0,224.0,0.0,43.0,1.0,14767.0,1789.0,8255653.0
Isle of Man,140.0,336.0,0.0,24.0,0.0,303.0,9.0,2.0,3954.0,282.0,4353.0,51221.0,84984.0
Mauritius,141.0,332.0,0.0,10.0,0.0,322.0,0.0,0.0,261.0,8.0,98075.0,77131.0,1271542.0
Montenegro,142.0,324.0,0.0,9.0,0.0,314.0,1.0,2.0,516.0,14.0,10167.0,16188.0,628058.0
Vietnam,143.0,324.0,0.0,0.0,0.0,264.0,60.0,2.0,3.0,0.0,275000.0,2828.0,97241403.0
Rwanda,144.0,320.0,6.0,0.0,0.0,217.0,103.0,0.0,25.0,0.0,54400.0,4213.0,12913795.0
Nicaragua,145.0,279.0,25.0,17.0,0.0,199.0,63.0,0.0,42.0,3.0,0.0,0.0,6615686.0
Sao Tome and Principe,146.0,251.0,0.0,8.0,0.0,4.0,239.0,0.0,1148.0,37.0,175.0,800.0,218686.0
French Guiana,147.0,249.0,12.0,1.0,0.0,137.0,111.0,0.0,836.0,3.0,0.0,0.0,297751.0
Liberia,148.0,240.0,2.0,23.0,0.0,131.0,86.0,0.0,48.0,5.0,0.0,0.0,5043542.0
Eswatini,149.0,220.0,3.0,2.0,0.0,112.0,106.0,0.0,190.0,2.0,4994.0,4310.0,1158822.0
Myanmar,150.0,199.0,0.0,6.0,0.0,108.0,85.0,0.0,4.0,0.1,16550.0,304.0,54369777.0
Yemen,151.0,197.0,13.0,33.0,3.0,5.0,159.0,0.0,7.0,1.0,120.0,4.0,29748378.0
Martinique,152.0,192.0,0.0,14.0,0.0,91.0,87.0,0.0,512.0,37.0,0.0,0.0,375296.0
Faeroe Islands,153.0,187.0,0.0,0.0,0.0,187.0,0.0,0.0,3829.0,0.0,9084.0,185984.0,48843.0
Mauritania,154.0,173.0,32.0,5.0,1.0,7.0,161.0,0.0,37.0,1.0,2583.0,557.0,4634928.0
Mozambique,155.0,162.0,6.0,0.0,0.0,48.0,114.0,0.0,5.0,0.0,7063.0,227.0,31149023.0
Uganda,156.0,160.0,0.0,0.0,0.0,66.0,94.0,0.0,4.0,0.0,78953.0,1733.0,45562477.0
Guadeloupe,157.0,155.0,0.0,13.0,0.0,109.0,33.0,3.0,387.0,32.0,2866.0,7163.0,400117.0
Gibraltar,158.0,151.0,2.0,0.0,0.0,146.0,5.0,0.0,4482.0,0.0,5833.0,173127.0,33692.0
Brunei ,159.0,141.0,0.0,1.0,0.0,136.0,4.0,2.0,323.0,2.0,18010.0,41212.0,437013.0
