Country/Other,#,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population
Sweden,23.0,29677.0,470.0,3674.0,28.0,4971.0,21032.0,278.0,2941.0,364.0,177500.0,17589.0,10091340.0
Portugal,24.0,28810.0,227.0,1203.0,13.0,3822.0,23785.0,115.0,2824.0,118.0,600061.0,58828.0,10200306.0
Belarus,25.0,28681.0,951.0,160.0,4.0,9498.0,19023.0,92.0,3035.0,17.0,335057.0,35457.0,9449703.0
Singapore,26.0,27356.0,465.0,22.0,1.0,8342.0,18992.0,16.0,4681.0,4.0,224262.0,38371.0,5844512.0
Ireland,27.0,24048.0,92.0,1533.0,15.0,19470.0,3045.0,69.0,4877.0,311.0,258808.0,52489.0,4930698.0
UAE,28.0,22627.0,796.0,214.0,4.0,7931.0,14482.0,1.0,2291.0,22.0,1560923.0,158068.0,9874985.0
Bangladesh,29.0,20995.0,930.0,314.0,16.0,4117.0,16564.0,1.0,128.0,2.0,167114.0,1016.0,164479603.0
Poland,30.0,18257.0,241.0,915.0,8.0,7175.0,10167.0,160.0,482.0,24.0,601394.0,15888.0,37851666.0
Ukraine,31.0,17858.0,528.0,497.0,21.0,4906.0,12455.0,231.0,408.0,11.0,220638.0,5041.0,43765128.0
Indonesia,32.0,17025.0,529.0,1089.0,13.0,3911.0,12025.0,0.0,62.0,4.0,182818.0,669.0,273152851.0
Romania,33.0,16704.0,267.0,1094.0,24.0,9574.0,6036.0,206.0,868.0,57.0,303734.0,15776.0,19252967.0
Israel,34.0,16608.0,19.0,268.0,2.0,12855.0,3485.0,59.0,1923.0,31.0,498711.0,57736.0,8637807.0
Japan,35.0,16203.0,0.0,713.0,0.0,10338.0,5152.0,245.0,128.0,6.0,233144.0,1843.0,126523275.0
Austria,36.0,16201.0,92.0,629.0,1.0,14524.0,1048.0,50.0,1800.0,70.0,357393.0,39711.0,8999946.0
South Africa,37.0,14355.0,831.0,261.0,14.0,6478.0,7616.0,119.0,242.0,4.0,439559.0,7423.0,59212004.0
Colombia,38.0,14216.0,0.0,546.0,0.0,3460.0,10210.0,137.0,280.0,11.0,177050.0,3484.0,50813344.0
Kuwait,39.0,13802.0,942.0,107.0,11.0,3843.0,9852.0,169.0,3238.0,25.0,240716.0,56475.0,4262329.0
Philippines,40.0,12305.0,214.0,817.0,11.0,2561.0,8927.0,79.0,112.0,7.0,215060.0,1966.0,109391934.0
Dominican Republic,41.0,12110.0,371.0,428.0,4.0,3726.0,7956.0,127.0,1118.0,40.0,50108.0,4625.0,10833998.0
Egypt,42.0,11719.0,491.0,612.0,20.0,2950.0,8157.0,41.0,115.0,6.0,135000.0,1323.0,102078159.0
S. Korea,43.0,11037.0,19.0,262.0,2.0,9851.0,924.0,55.0,215.0,5.0,741145.0,14457.0,51263759.0
Denmark,44.0,10858.0,67.0,543.0,6.0,9107.0,1208.0,28.0,1875.0,94.0,444562.0,76785.0,5789665.0
Serbia,45.0,10496.0,58.0,228.0,3.0,4479.0,5789.0,18.0,1201.0,26.0,174746.0,19990.0,8741609.0
Panama,46.0,9268.0,150.0,266.0,6.0,6080.0,2922.0,72.0,2152.0,62.0,47768.0,11094.0,4305867.0
Czechia,47.0,8436.0,30.0,296.0,1.0,5422.0,2718.0,39.0,788.0,28.0,348849.0,32583.0,10706527.0
Norway,48.0,8226.0,7.0,232.0,0.0,32.0,7962.0,20.0,1519.0,43.0,216350.0,39947.0,5415870.0
Argentina,49.0,7479.0,0.0,363.0,7.0,2534.0,4582.0,170.0,166.0,8.0,100362.0,2223.0,45142926.0
Australia,50.0,7036.0,17.0,98.0,0.0,6362.0,576.0,16.0,276.0,4.0,1015652.0,39889.0,25461791.0
Malaysia,51.0,6872.0,17.0,113.0,1.0,5512.0,1247.0,13.0,213.0,3.0,434136.0,13436.0,32312334.0
Algeria,52.0,6821.0,192.0,542.0,6.0,3409.0,2870.0,22.0,156.0,12.0,6500.0,149.0,43746275.0
Bahrain,53.0,6747.0,164.0,12.0,0.0,2753.0,3982.0,3.0,3985.0,7.0,228573.0,134996.0,1693179.0
Morocco,54.0,6741.0,89.0,192.0,2.0,3487.0,3062.0,1.0,183.0,5.0,85004.0,2306.0,36854173.0
Afghanistan,55.0,6402.0,349.0,168.0,15.0,745.0,5489.0,19.0,165.0,4.0,21967.0,566.0,38810145.0
Finland,56.0,6286.0,58.0,297.0,4.0,5000.0,989.0,30.0,1135.0,54.0,143900.0,25976.0,5539658.0
Moldova,57.0,5934.0,189.0,207.0,5.0,2344.0,3383.0,251.0,1471.0,51.0,20447.0,5067.0,4035100.0
Kazakhstan,58.0,5850.0,161.0,34.0,0.0,2980.0,2836.0,31.0,312.0,2.0,505216.0,26948.0,18747746.0
Ghana,59.0,5638.0,0.0,28.0,0.0,1460.0,4150.0,5.0,182.0,0.9,171642.0,5539.0,30986096.0
Nigeria,60.0,5450.0,0.0,171.0,0.0,1320.0,3959.0,7.0,27.0,0.8,30657.0,149.0,205444156.0
Oman,61.0,5029.0,404.0,21.0,1.0,1436.0,3572.0,31.0,988.0,4.0,61000.0,11987.0,5088900.0
