OBJECTID,Place,תאריך,שעות שהייה,x,y
1939958,משרד הפנים - ראש העין,19/7/2020,מ 2020-07-19 11:30 עד 2020-07-19 12:30,34.94380970000003,32.096703400000024
1939959,"אלטלף 1, יהוד",20/7/2020,מ 2020-07-20 08:00 עד 2020-07-20 17:00,34.898456200000055,32.02617890000005
1939960,מרכז שניידר לרפואת ילדים בישראל - פתח תקווה,22/7/2020,מ 2020-07-22 10:00 עד 2020-07-22 11:00,34.86782900000003,32.088012900000024
1939961,קרביץ גרנד קניון - באר שבע - באר שבע,21/7/2020,מ 2020-07-21 16:30 עד 2020-07-21 17:30,34.77166250000005,31.25064050000003
1939962,תיכון גבעת שמואל - גבעת שמואל,19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 10:00,34.85075440000003,32.06978780000003
1939963,"היוזמה 3, כפר סבא",19/7/2020,מ 2020-07-19 21:30 עד 2020-07-19 23:30,34.92876640000003,32.17813730000006
1939964,קניון עזריאלי הנגב - באר שבע,19/7/2020,מ 2020-07-19 09:30 עד 2020-07-19 10:30,34.794618900000046,31.24372600000004
1939965,שופרסל אקספרס פלח 7 - באר שבע,20/7/2020,מ 2020-07-20 08:30 עד 2020-07-20 09:00,34.766984000000036,31.23060220000008
1939966,BIG ביג באר שבע - באר שבע,21/7/2020,מ 2020-07-21 17:00 עד 2020-07-21 19:00,34.81085200000007,31.242637600000023
1939967,מכבי אילת - אילת,23/7/2020,מ 2020-07-23 08:30 עד 2020-07-23 09:00,34.95096360000008,29.560375100000044
1939968,"דרך ההגנה 50, תל אביב יפו",19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 09:30,34.78785830000004,32.054083400000025
1939969,"דרך ההגנה 50, תל אביב יפו",20/7/2020,מ 2020-07-20 09:00 עד 2020-07-20 09:30,34.78785830000004,32.054083400000025
1939970,כנסיית ישו הנער סלזיאנית - נצרת,19/7/2020,מ 2020-07-19 18:00 עד 2020-07-19 19:30,35.29488820000006,32.70702460000007
1939971,קניון רמת אביב - תל אביב יפו,20/7/2020,מ 2020-07-20 17:00 עד 2020-07-20 21:00,34.797205000000076,32.11294000000004
1939972,מכבי שירותי בריאות - רחובות,19/7/2020,מ 2020-07-19 08:30 עד 2020-07-19 09:00,34.83008270000005,31.89007840000005
1939973,"דרך ירושלים 2, רחובות",19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 09:30,34.82023360000005,31.887435400000072
1939974,"עולי הגרדום 32, נתניה",21/7/2020,מ 2020-07-21 11:00 עד 2020-07-21 12:30,34.86641060000005,32.328795300000024
1939975,רוברטה וינצ׳י - פרדס חנה כרכור,21/7/2020,מ 2020-07-21 13:30 עד 2020-07-21 15:30,34.99140150000005,32.47244500000005
1939976,פסטה בסטה - קרית שמונה,21/7/2020,מ 2020-07-21 13:30 עד 2020-07-21 15:30,35.58906500000006,33.22064400000005
1939977,בית יוניטרייד - אשדוד,19/7/2020,מ 2020-07-19 09:30 עד 2020-07-19 10:00,34.640824500000065,31.793616900000075
1939978,בנק לאומי נתיבות - נתיבות,19/7/2020,מ 2020-07-19 16:00 עד 2020-07-19 16:30,34.59429300000005,31.417344800000023
1939979,ויקטורי - נתיבות,19/7/2020,מ 2020-07-19 16:30 עד 2020-07-19 17:00,34.59429300000005,31.417344800000023
1939980,קניון הנגב - באר שבע,19/7/2020,מ 2020-07-19 11:30 עד 2020-07-19 12:30,34.81061870000008,31.24427380000003
1939981,"הרצל 66, ראשון לציון",19/7/2020,מ 2020-07-19 17:30 עד 2020-07-19 17:40,34.802603400000066,31.965208700000066
1939982,"האופה מבגדד - סניף ביל""ו - קרית עקרון",21/7/2020,מ 2020-07-21 11:30 עד 2020-07-21 12:00,34.81445350000007,31.865073100000075
1939983,"הפטיש 8, נס ציונה",19/7/2020,מ 2020-07-19 09:00 עד 2020-07-19 09:30,34.79350040000003,31.92208130000006
