POSTCODE,05-26,06-03,06-04,06-05,06-06,06-07,06-08,06-09,06-10,06-11,06-12,06-13,06-14,06-15,06-17,06-18
85942,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86514,,,,,,,,,,,,,,,,
86503,,,,,,,,,,,,,,,,
86510,,,,,,,,,,,,,,,,
86033,,,,,,,,,,,,,,,,
86044,,,,,,,,,,,,,,,,
86034,,,,,,,,,,,,,,,,
86538,,,,,,,,,,,,,,,,
86054,,,,,,,,,,,,,,,,
86053,,,,,,,,,,,,,,,,
86042,,,,,,,,,,,,,,,,
86030,,,,,,,,,,,,,,,,
86507,,,,,,,,,,,,,,,,
86043,,,,,,,,,,,,,,,,
86556,,,,,,,,,,,,,,,,
